start_time,point_longitude,point_latitude,value
2019/10/1,121.025,22.58,4.41
2019/10/1,121.651,24.483,3.19
2019/10/1,121.097,23.035,3.32
2019/10/1,121.109,23.044,3.3
2019/10/1,121.692,24.023,3.44
2019/10/1,121.729,24.875,3.06
2019/10/2,121.573,23.513,3.31
2019/10/3,120.983,22.88,3.48
2019/10/3,121.117,23.047,3.85
2019/10/4,122.866,24.751,3.47
2019/10/4,121.844,24.167,3.69
2019/10/5,120.984,22.883,3.33
2019/10/5,121.452,22.218,3.49
2019/10/5,121.968,23.44,3.36
2019/10/5,121.714,24.331,4.21
2019/10/5,121.754,23.646,3.45
2019/10/6,121.403,22.605,3.6
2019/10/6,121.903,24.841,3.16
2019/10/6,121.501,23.181,3.19
2019/10/6,122.216,24.846,3.44
2019/10/7,121.646,23.93,3.61
2019/10/7,122.071,23.696,4.14
2019/10/7,121.727,24.401,3.28
2019/10/8,120.945,24.447,3.51
2019/10/8,122.359,24.657,5.08
2019/10/8,121.317,22.49,3.3
2019/10/8,122.418,24.635,3.45
2019/10/8,122.427,24.601,3.57
2019/10/8,122.373,24.651,3.99
2019/10/8,121.5,24.056,3.88
2019/10/9,121.588,23.263,3.22
2019/10/9,121.136,23.185,3.11
2019/10/9,122.803,24.963,3.05
2019/10/10,120.532,23.252,3.01
2019/10/11,121.437,22.066,3.06
2019/10/13,122.008,24.797,3.94
2019/10/13,120.439,23.163,3.28
2019/10/13,122.146,21.18,3.87
2019/10/14,121.352,22.993,3.26
2019/10/14,121.287,21.122,3.52
2019/10/15,121.564,23.267,3
2019/10/15,121.367,22.199,3.67
2019/10/15,121.35,22.218,3.37
2019/10/15,120.726,23.443,3.62
2019/10/16,121.316,23.204,3.75
2019/10/16,121.853,24.867,3.65
2019/10/16,120.436,22.02,3.06
2019/10/16,121.808,23.657,3.26
2019/10/17,120.72,22.262,3.6
2019/10/17,121.831,24.427,3.95
2019/10/17,122.501,24.028,5.64
2019/10/18,122.057,23.719,3.5
2019/10/18,120.108,21.436,3.78
2019/10/19,121.919,24.71,3.33
2019/10/19,122.453,24.894,3.71
2019/10/19,120.555,23.051,3.94
2019/10/19,122.526,25.507,3.4
2019/10/20,122.555,24.858,3.01
2019/10/20,121.895,24.446,3.46
2019/10/20,122.553,23.089,3.69
2019/10/21,122.376,24.644,3.17
2019/10/21,121.889,24.633,3.69
2019/10/21,122.421,24.668,3.63
2019/10/22,121.635,24.332,3.58
2019/10/22,121.639,24.333,3.52
2019/10/22,121.111,23.036,3.21
2019/10/22,120.503,23.185,3.19
2019/10/23,122.44,24.08,3.14
2019/10/23,122.093,24.902,3.16
2019/10/23,120.332,23.33,3.22
2019/10/23,121.628,23.805,3.48
2019/10/24,122.341,25.243,4.65
2019/10/24,121.348,22.909,3.37
2019/10/24,122.52,24.681,3.25
2019/10/24,121.839,24.702,3.24
2019/10/25,122.2,24.854,3.96
2019/10/26,121.729,24.173,3.8
2019/10/26,121.733,24.174,3.43
2019/10/26,122.876,24.573,3.96
2019/10/26,121.065,22.862,3.13
2019/10/26,120.922,23.151,3.07
2019/10/27,122.243,24.877,3.32
2019/10/27,121.496,24.018,3.92
2019/10/27,121.698,24.112,3.26
2019/10/28,121.891,24.476,4.5
2019/10/28,121.725,24.168,3.29
2019/10/28,121.72,24.17,3.51
2019/10/28,120.967,21.186,3.03
2019/10/29,121.679,23.903,3.21
2019/10/29,121.403,22.431,3.62
2019/10/29,122.341,24.129,3.01
2019/10/29,121.59,24.138,3.24
2019/10/29,122.72,24.651,3.41
2019/10/30,121.541,24.466,3.21
2019/10/30,122.546,24.787,3.47
2019/10/31,121.518,22.75,3.94
2019/11/1,121.507,22.753,3.56